"Participant","Recruitment","Experiment_StartDate","Experiment_Duration","Browser_Version","Mobile","Platform","Screen_Width","Screen_Height"
"S231","prolific",2025-10-05 12:57:44,48.1506666666667,"chrome 140.0.0","false","Windows 10",1366,599
"S349","prolific",2025-10-04 02:20:31,35.8234166666667,"chrome 141.0.0","false","Windows 10",1536,826
"S221","prolific",2025-10-03 11:27:58,35.03115,"firefox 144.0.0","false","Windows 10",1920,967
"S311","prolific",2025-10-03 08:12:02,26.7797,"firefox 143.0.0","false","Windows 10",1600,758
"S184","prolific",2025-10-06 09:08:59,54.05305,"chrome 140.0.0","false","Windows 10",1366,633
"S251","prolific",2025-10-03 20:19:53,39.8845333333333,"chrome 129.0.0","false","Windows 10",754,711
"S254","prolific",2025-10-07 08:47:36,30.0927833333333,"chrome 141.0.0","false","Windows 10",1536,730
"S178","prolific",2025-10-04 11:58:29,84.18865,"chrome 140.0.0","false","Mac OS",1280,678
"S209","prolific",2025-10-02 23:16:35,17.94865,"chrome 140.0.0","false","Windows 10",1920,911
"S270","prolific",2025-10-03 19:34:16,31.725,"chrome 140.0.0","true","Android OS",980,1792
"S069","prolific",2025-10-03 18:31:08,22.0989666666667,"chrome 140.0.0","false","Chrome OS",1536,695
"S175","prolific",2025-10-04 16:04:29,58.5028166666667,"chrome 140.0.0","false","Chrome OS",1327,599
"S145","prolific",2025-10-03 15:17:05,39.2385833333333,"chrome 140.0.0","false","Windows 10",1920,911
"S186","prolific",2025-10-03 18:48:26,35.2261166666667,"chrome 130.0.0","false","Windows 10",1280,593
"S099","prolific",2025-10-11 17:57:02,31.7500833333333,"chrome 141.0.0","false","Mac OS",1440,900
"S247","prolific",2025-10-04 06:29:57,27.5569333333333,"chrome 140.0.0","false","Windows 10",1280,585
"S214","prolific",2025-10-04 14:46:43,98.7287166666667,"chrome 140.0.0","false","Windows 10",1280,551
"S296","prolific",2025-10-03 20:20:58,52.6210333333333,"chrome 140.0.0","false","Chrome OS",1536,730
"S156","prolific",2025-10-03 14:54:47,28.8038333333333,"chrome 140.0.0","false","Mac OS",1786,908
"S341","prolific",2025-10-03 09:27:48,20.5553833333333,"chrome 141.0.0","false","Mac OS",1702,861
"S309","prolific",2025-10-03 18:52:04,56.42325,"chrome 140.0.0","false","Windows 10",1280,585
"S084","prolific",2025-10-05 20:33:25,37.1299333333333,"ios 26.0.1","true","iOS",980,1773
"S071","prolific",2025-10-03 12:07:12,21.0450166666667,"chrome 140.0.0","false","Windows 10",2048,1146
"S089","prolific",2025-10-06 09:59:58,22.8275833333333,"chrome 141.0.0","false","Windows 10",1746,818
"S255","prolific",2025-10-03 22:18:13,37.7306666666667,"chrome 140.0.0","false","Windows 10",1280,585
"S280","prolific",2025-10-03 09:23:17,42.1875833333333,"chrome 140.0.0","false","Windows 10",1920,945
"S039","prolific",2025-10-10 09:36:03,19.6837166666667,"edge-chromium 140.0.0","false","Windows 10",1912,1044
"S268","prolific",2025-10-03 08:23:42,21.2782,"chrome 140.0.0","false","Windows 10",1536,889
"S155","prolific",2025-10-04 15:44:53,37.1613833333333,"firefox 143.0.0","false","Windows 10",1920,929
"S076","prolific",2025-10-03 13:04:45,15.7653333333333,"firefox 143.0.0","false","Mac OS",1496,844
"S119","prolific",2025-10-03 16:11:38,38.2587166666667,"chrome 140.0.0","false","Mac OS",1280,678
"S124","prolific",2025-10-03 15:15:50,33.4237833333333,"opera 122.0.0","false","Windows 10",1534,778
"S262","prolific",2025-10-03 09:30:24,28.4308333333333,"chrome 140.0.0","false","Windows 10",1412,638
"S082","prolific",2025-10-03 15:58:54,23.8009666666667,"chrome 140.0.0","false","Windows 10",1536,695
"S079","prolific",2025-10-03 16:46:18,52.3327166666667,"chrome 140.0.0","false","Windows 10",1229,532
"S129","prolific",2025-10-08 10:25:38,13.9567666666667,"edge-chromium 140.0.0","false","Windows 10",1528,738
"S239","prolific",2025-10-03 21:48:34,29.5734833333333,"chrome 140.0.0","false","Windows 10",1536,791
"S199","prolific",2025-10-03 16:50:59,31.65445,"edge-chromium 140.0.0","false","Windows 10",1528,716
"S174","prolific",2025-10-05 13:29:18,45.79635,"firefox 143.0.0","false","Windows 10",766,730
"S289","prolific",2025-10-11 13:59:34,19.8070166666667,"chrome 139.0.0","false","Mac OS",1440,708
"S087","prolific",2025-10-03 17:48:18,25.9472333333333,"chrome 140.0.0","false","Windows 10",1536,695
"S233","prolific",2025-10-03 14:54:25,20.9363833333333,"chrome 140.0.0","false","Windows 10",1664,941
"S110","prolific",2025-10-03 16:00:18,20.193,"chrome 140.0.0","false","Windows 10",1536,742
"S200","prolific",2025-10-03 15:28:26,28.2152833333333,"chrome 140.0.0","false","Windows 10",1280,585
"S101","prolific",2025-10-03 20:01:43,34.8187333333333,"firefox 141.0.0","false","Windows 10",1280,560
"S302","prolific",2025-10-04 07:42:02,31.4431166666667,"chrome 140.0.0","false","Windows 10",1536,730
"S182","prolific",2025-10-03 10:11:36,28.01125,"chrome 138.0.0","false","Chrome OS",1536,695
"S329","prolific",2025-10-03 21:23:21,14.5579666666667,"safari 18.6.0","false","Mac OS",1431,721
"S308","prolific",2025-10-03 16:46:26,28.54345,"chrome 140.0.0","false","Windows 10",1536,695
"S151","prolific",2025-10-07 09:05:49,29.8163166666667,"chrome 140.0.0","false","Windows 10",1265,577
"S162","prolific",2025-10-03 08:09:48,31.1150166666667,"safari 18.6.0","false","Mac OS",1429,747
"S339","prolific",2025-10-03 16:31:30,23.0182166666667,"chrome 140.0.0","false","Windows 10",1366,607
