"Outcome","Emotion","Contrast","Parameter","Difference","CI_low","CI_high","pd","Credible","Effect"
"Artificiality","Overall","Human Forgery - Human Original","precright",0.284323795625,-0.1982959305625,0.789409058312499,0.872857142857143,FALSE,"n.s."
"Artificiality","Overall","Human Forgery - Human Original","response",0.00734407174359142,-0.0138626935232964,0.0292751545210977,0.755357142857143,FALSE,"n.s."
"Artificiality","Positive - High intensity","AI-Generated - Human Forgery","confleft",0.000489558981743216,-0.0571697950599076,0.0588325850743424,0.508928571428571,FALSE,"n.s."
"Artificiality","Positive - High intensity","AI-Generated - Human Forgery","confright",-0.000269996392116195,-0.038708839022662,0.0378429612704957,0.50625,FALSE,"n.s."
"Artificiality","Positive - High intensity","AI-Generated - Human Forgery","mu",-0.0118600330068409,-0.107936297670819,0.0774514221146555,0.6025,FALSE,"n.s."
"Artificiality","Positive - High intensity","AI-Generated - Human Forgery","precleft",-0.589358239000001,-2.1339602256575,0.998124005549999,0.78375,FALSE,"n.s."
"Artificiality","Positive - High intensity","AI-Generated - Human Forgery","precright",0.151803673500001,-1.03463036875,1.30548384355,0.602142857142857,FALSE,"n.s."
"Artificiality","Positive - High intensity","AI-Generated - Human Forgery","response",-0.00471824314470654,-0.0498647219540839,0.036315402458941,0.589464285714286,FALSE,"n.s."
"Artificiality","Positive - High intensity","AI-Generated - Human Original","confleft",0.0150523972353922,-0.0277427251465629,0.0613387208744307,0.751964285714286,FALSE,"n.s."
"Artificiality","Positive - High intensity","AI-Generated - Human Original","confright",0.0190648672367346,-0.0161049935594039,0.0549905729405078,0.8575,FALSE,"n.s."
"Artificiality","Positive - High intensity","AI-Generated - Human Original","mu",0.00529433322935696,-0.0923274487560507,0.101425054244432,0.545714285714286,FALSE,"n.s."
"Artificiality","Positive - High intensity","AI-Generated - Human Original","precleft",-0.389038417,-1.521621287,0.980721741249999,0.731071428571429,FALSE,"n.s."
"Artificiality","Positive - High intensity","AI-Generated - Human Original","precright",0.6093218005,-0.28966262615,1.563647125,0.905357142857143,FALSE,"n.s."
"Artificiality","Positive - High intensity","AI-Generated - Human Original","response",0.00702230047151886,-0.0380173682461154,0.0493900480465927,0.628035714285714,FALSE,"n.s."
"Artificiality","Positive - High intensity","Human Forgery - Human Original","confleft",0.0146627284393295,-0.0337612629091133,0.0651354801219794,0.716428571428571,FALSE,"n.s."
"Artificiality","Positive - High intensity","Human Forgery - Human Original","confright",0.0191711928032482,-0.0191967181907464,0.0579953696630809,0.842678571428571,FALSE,"n.s."
"Artificiality","Positive - High intensity","Human Forgery - Human Original","mu",0.0171929649115015,-0.0738726283007967,0.115075723864498,0.64375,FALSE,"n.s."
"Artificiality","Positive - High intensity","Human Forgery - Human Original","precleft",0.209454,-0.9730552005,1.52713685825,0.625178571428571,FALSE,"n.s."
"Artificiality","Positive - High intensity","Human Forgery - Human Original","precright",0.435117315,-0.471529521,1.480431773,0.823214285714286,FALSE,"n.s."
"Artificiality","Positive - High intensity","Human Forgery - Human Original","response",0.0113001476254949,-0.0291395405173526,0.0538118270531265,0.709642857142857,FALSE,"n.s."
"Artificiality","Positive - Low intensity","AI-Generated - Human Forgery","confleft",0.0377163043467943,-0.0115903881345574,0.0889517983087597,0.931785714285714,FALSE,"n.s."
"Artificiality","Positive - Low intensity","AI-Generated - Human Forgery","confright",0.00776121002978425,-0.0254916531355192,0.0418939556506701,0.681607142857143,FALSE,"n.s."
"Artificiality","Positive - Low intensity","AI-Generated - Human Forgery","mu",0.0150481118338457,-0.0662839341248147,0.0920332896799835,0.645178571428571,FALSE,"n.s."
"Artificiality","Positive - Low intensity","AI-Generated - Human Forgery","precleft",0.0201347245000003,-0.870287504249999,0.87265955025,0.516607142857143,FALSE,"n.s."
"Artificiality","Positive - Low intensity","AI-Generated - Human Forgery","precright",-0.25084746,-1.00625173075,0.488828343224999,0.740357142857143,FALSE,"n.s."
"Artificiality","Positive - Low intensity","AI-Generated - Human Forgery","response",0.00268106426468945,-0.0347842672915411,0.036655317811041,0.558571428571429,FALSE,"n.s."
"Artificiality","Positive - Low intensity","AI-Generated - Human Original","confleft",-0.0170348566262219,-0.0565229388019644,0.0219134527269849,0.796071428571429,FALSE,"n.s."
"Artificiality","Positive - Low intensity","AI-Generated - Human Original","confright",0.0127437821323182,-0.019783608128452,0.0460071573303372,0.780535714285714,FALSE,"n.s."
