"Model","Predictor","Level1","Response1","Level2","Response2","Median","CI_low","CI_high","pd","Credible"
"MemoryBelief","Belief","Human Original","AI Copy","AI Original","Human Forgery",-0.02983256593155,-0.0428570408010611,-0.01811651407783,1,TRUE
"MemoryBelief","Belief","Human Original","AI Copy","Human Forgery","Human Forgery",-0.0556658977221385,-0.0720798070883237,-0.0402602812925457,1,TRUE
"MemoryBelief","Belief","Human Original","AI Copy","Human Original","Human Forgery",-0.0435278468782504,-0.0537607420208518,-0.0332773333552396,1,TRUE
"MemoryBelief","Belief","Human Original","AI Copy","None","Human Forgery",0.00211278687645053,-0.00659106700244829,0.0104620746621965,0.691,FALSE
"MemoryBelief","Belief","None","AI Copy","AI Copy","Human Forgery",-0.0619308043392095,-0.0761720596819489,-0.0487941601819278,1,TRUE
"MemoryBelief","Belief","None","AI Copy","AI Original","Human Forgery",-0.0477461197159866,-0.0615333209437045,-0.0359346465206872,1,TRUE
"MemoryBelief","Belief","None","AI Copy","Human Forgery","Human Forgery",-0.0735750267295349,-0.0905107954370614,-0.0581527900837196,1,TRUE
"MemoryBelief","Belief","None","AI Copy","Human Original","Human Forgery",-0.0614081325294435,-0.0720468617757714,-0.0510973047385675,1,TRUE
"MemoryBelief","Belief","None","AI Copy","None","Human Forgery",-0.0158760816826771,-0.0212109793560357,-0.0109800965862842,1,TRUE
"MemoryBelief","Belief","AI Copy","AI Copy","AI Copy","Human Original",-0.090857557812266,-0.110265750015566,-0.0720799288002959,1,TRUE
"MemoryBelief","Belief","AI Copy","AI Copy","AI Original","Human Original",-0.0794599179346461,-0.0984382075507089,-0.0621020247564545,1,TRUE
"MemoryBelief","Belief","AI Copy","AI Copy","Human Forgery","Human Original",-0.128243961201375,-0.151545341216,-0.106874830040168,1,TRUE
"MemoryBelief","Belief","AI Copy","AI Copy","Human Original","Human Original",-0.159595797462778,-0.179960296725048,-0.140983418363644,1,TRUE
"MemoryBelief","Belief","AI Copy","AI Copy","None","Human Original",-0.019177555488042,-0.0350309492373125,-0.00438161536864069,0.99575,TRUE
"MemoryBelief","Belief","AI Original","AI Copy","AI Copy","Human Original",-0.0861965619877615,-0.105442368044056,-0.0674283272111832,1,TRUE
"MemoryBelief","Belief","AI Original","AI Copy","AI Original","Human Original",-0.0751065168006319,-0.0953643901905648,-0.0567795169526812,1,TRUE
"MemoryBelief","Belief","AI Original","AI Copy","Human Forgery","Human Original",-0.123973363216618,-0.147538074058181,-0.101822574090583,1,TRUE
"MemoryBelief","Belief","AI Original","AI Copy","Human Original","Human Original",-0.155469477794312,-0.176094342040773,-0.136061699642034,1,TRUE
"MemoryBelief","Belief","AI Original","AI Copy","None","Human Original",-0.0149710103199259,-0.0307984874865561,0.000875306489735164,0.971,FALSE
"MemoryBelief","Belief","Human Forgery","AI Copy","AI Copy","Human Original",-0.0964530846086182,-0.117010465656006,-0.0767685691593037,1,TRUE
"MemoryBelief","Belief","Human Forgery","AI Copy","AI Original","Human Original",-0.0851789682397728,-0.105183717331908,-0.0661224652219675,1,TRUE
"MemoryBelief","Belief","Human Forgery","AI Copy","Human Forgery","Human Original",-0.134198710688591,-0.160095066713664,-0.109312318389825,1,TRUE
"MemoryBelief","Belief","Human Forgery","AI Copy","Human Original","Human Original",-0.165381414963669,-0.18735246598578,-0.144468485905074,1,TRUE
"MemoryBelief","Belief","Human Forgery","AI Copy","None","Human Original",-0.0252778652741267,-0.0411767248421424,-0.00845643854000799,0.99775,TRUE
"MemoryBelief","Belief","Human Original","AI Copy","AI Copy","Human Original",-0.106754817448028,-0.125294978532944,-0.0896950723827876,1,TRUE
"MemoryBelief","Belief","Human Original","AI Copy","AI Original","Human Original",-0.0954329718624612,-0.114099766312031,-0.0797250318501804,1,TRUE
"MemoryBelief","Belief","Human Original","AI Copy","Human Forgery","Human Original",-0.144503698193934,-0.168034720016109,-0.123687169810118,1,TRUE
"MemoryBelief","Belief","Human Original","AI Copy","Human Original","Human Original",-0.175780582793309,-0.196353392459736,-0.157128249890779,1,TRUE
"MemoryBelief","Belief","Human Original","AI Copy","None","Human Original",-0.0352336958902151,-0.0485903304403163,-0.0238298453255474,1,TRUE
"MemoryBelief","Belief","None","AI Copy","AI Copy","Human Original",-0.1246969296912,-0.145291935608719,-0.106353488572449,1,TRUE
"MemoryBelief","Belief","None","AI Copy","AI Original","Human Original",-0.113465760619463,-0.133395890945728,-0.095910257028962,1,TRUE
"MemoryBelief","Belief","None","AI Copy","Human Forgery","Human Original",-0.162693396994653,-0.187792720211102,-0.139747588219199,1,TRUE
"MemoryBelief","Belief","None","AI Copy","Human Original","Human Original",-0.193859807851638,-0.216245351604417,-0.172778137495346,1,TRUE
"MemoryBelief","Belief","None","AI Copy","None","Human Original",-0.0532467632533562,-0.0634439807967781,-0.045534602812578,1,TRUE
"MemoryBelief","Belief","AI Copy","AI Original","AI Original","AI Original",-0.0297445885746655,-0.0518566404491268,-0.00877687447780981,0.99825,TRUE
"MemoryBelief","Belief","AI Copy","AI Original","Human Forgery","AI Original",0.0253618586710678,0.00413944422475076,0.046314631430514,0.99025,TRUE
"MemoryBelief","Belief","AI Copy","AI Original","Human Original","AI Original",0.0348979421955944,0.0186525024959633,0.0518592601753215,1,TRUE
"MemoryBelief","Belief","AI Original","AI Original","Human Forgery","AI Original",0.0553603869832245,0.0326648291007892,0.0787148869220975,1,TRUE
"MemoryBelief","Belief","AI Original","AI Original","Human Original","AI Original",0.0647335438738359,0.0465061784378063,0.0851918894212086,1,TRUE
"MemoryBelief","Belief","Human Forgery","AI Original","Human Original","AI Original",0.00944054047178407,-0.00754842844291486,0.0280770066310058,0.8595,FALSE
"MemoryBelief","Belief","None","AI Original","AI Copy","AI Original",-0.0899391820452502,-0.116375948612817,-0.0655887429502073,1,TRUE
"MemoryBelief","Belief","None","AI Original","AI Original","AI Original",-0.119920620977284,-0.150362217966762,-0.0921691721293805,1,TRUE
"MemoryBelief","Belief","None","AI Original","Human Forgery","AI Original",-0.0643868169162801,-0.0910277641627618,-0.0407253649375804,1,TRUE
"MemoryBelief","Belief","None","AI Original","Human Original","AI Original",-0.0552134779651542,-0.0755660445770369,-0.0357390028348617,1,TRUE
"MemoryBelief","Belief","AI Copy","AI Original","AI Copy","Human Forgery",0.0527945726943044,0.0299885780122333,0.076815044058058,1,TRUE
"MemoryBelief","Belief","AI Copy","AI Original","AI Original","Human Forgery",0.0666446013599371,0.0455634963266624,0.0900739179958323,1,TRUE
"MemoryBelief","Belief","AI Copy","AI Original","Human Forgery","Human Forgery",0.0409032880368191,0.0177190526810185,0.0656942617586311,0.9995,TRUE
"MemoryBelief","Belief","AI Copy","AI Original","Human Original","Human Forgery",0.0529323179094498,0.0337440815822582,0.07476065880306,1,TRUE
"MemoryBelief","Belief","AI Copy","AI Original","None","Human Forgery",0.0986065318687666,0.0776983332723367,0.122080696640568,1,TRUE
"MemoryBelief","Belief","AI Original","AI Original","AI Copy","Human Forgery",0.0823267983695801,0.0576322106321853,0.108693131010083,1,TRUE
"MemoryBelief","Belief","AI Original","AI Original","AI Original","Human Forgery",0.0962950947715073,0.0726897357149223,0.124917021929802,1,TRUE
"MemoryBelief","Belief","AI Original","AI Original","Human Forgery","Human Forgery",0.0703653495133567,0.0455131407110454,0.0996879490066027,1,TRUE
"MemoryBelief","Belief","AI Original","AI Original","Human Original","Human Forgery",0.0828390341567114,0.0605878826603458,0.108319112647117,1,TRUE
"MemoryBelief","Belief","AI Original","AI Original","None","Human Forgery",0.128306713774413,0.104377482162719,0.156451637042464,1,TRUE
"MemoryBelief","Belief","Human Forgery","AI Original","AI Copy","Human Forgery",0.0271409839944357,0.00522757167971029,0.0514867796955745,0.9925,TRUE
"MemoryBelief","Belief","Human Forgery","AI Original","AI Original","Human Forgery",0.0411352041731617,0.0195461720100667,0.0663509602814057,1,TRUE
"MemoryBelief","Belief","Human Forgery","AI Original","Human Forgery","Human Forgery",0.0153415749525145,-0.00941445709564259,0.0419323396200436,0.88775,FALSE
"MemoryBelief","Belief","Human Forgery","AI Original","Human Original","Human Forgery",0.0275260435831874,0.00791214523402245,0.0506051585739551,0.9975,TRUE
"MemoryBelief","Belief","Human Forgery","AI Original","None","Human Forgery",0.0730754448963477,0.0523821914513158,0.0971557784991664,1,TRUE
"MemoryBelief","Belief","Human Original","AI Original","AI Copy","Human Forgery",0.0177835160996109,0.000245951841970211,0.0360515090891922,0.976,TRUE
"MemoryBelief","Belief","Human Original","AI Original","AI Original","Human Forgery",0.0316320183354596,0.0144157156481293,0.0503440542583353,1,TRUE
"MemoryBelief","Belief","Human Original","AI Original","Human Forgery","Human Forgery",0.00592731261453253,-0.0136499826632148,0.0257328511240566,0.7265,FALSE
"MemoryBelief","Belief","Human Original","AI Original","Human Original","Human Forgery",0.0180376047026082,0.00281817993815227,0.0350173953475465,0.99225,TRUE
"MemoryBelief","Belief","Human Original","AI Original","None","Human Forgery",0.063674101652241,0.0485057478658827,0.0805442248200811,1,TRUE
"MemoryBelief","Belief","None","AI Original","AI Copy","Human Forgery",-0.0376663265346718,-0.0538818389413744,-0.0213408153789276,1,TRUE
"MemoryBelief","Belief","None","AI Original","AI Original","Human Forgery",-0.02326575529262,-0.0391019664662608,-0.00911688652572088,0.99925,TRUE
"MemoryBelief","Belief","None","AI Original","Human Forgery","Human Forgery",-0.0491682047512225,-0.06770754488717,-0.0310988670149398,1,TRUE
"MemoryBelief","Belief","None","AI Original","Human Original","Human Forgery",-0.0370208836252816,-0.0500027268871625,-0.0229665982756871,1,TRUE
"MemoryBelief","Belief","None","AI Original","None","Human Forgery",0.00844818309603063,0.000638373779408386,0.0179135748932158,0.98375,TRUE
"MemoryBelief","Belief","AI Copy","AI Original","AI Copy","Human Original",-0.0103153280553446,-0.034484526896855,0.0154700002130073,0.788,FALSE
"MemoryBelief","Belief","AI Copy","AI Original","AI Original","Human Original",0.000768396699447935,-0.0232730908781427,0.0252904249890193,0.524,FALSE
"MemoryBelief","Belief","AI Copy","AI Original","Human Forgery","Human Original",-0.0480192595207635,-0.0748013766058627,-0.0216260458363196,0.99975,TRUE
"MemoryBelief","Belief","AI Copy","AI Original","Human Original","Human Original",-0.0795722401451242,-0.102666728892036,-0.0564167081087483,1,TRUE
"MemoryBelief","Belief","AI Copy","AI Original","None","Human Original",0.0609926853400653,0.0374037268837173,0.0860713733874985,1,TRUE
"MemoryBelief","Belief","AI Original","AI Original","AI Copy","Human Original",0.0195135738177026,-0.00539564587172705,0.0477860472145145,0.93625,FALSE
"MemoryBelief","Belief","AI Original","AI Original","AI Original","Human Original",0.0307048416384222,0.00349511763621547,0.0598671622240409,0.98575,TRUE
"MemoryBelief","Belief","AI Original","AI Original","Human Forgery","Human Original",-0.0179855361841556,-0.0470432223314219,0.0112754800197716,0.8865,FALSE
"MemoryBelief","Belief","AI Original","AI Original","Human Original","Human Original",-0.0495329920344924,-0.0740175698010146,-0.0229658718105585,0.99975,TRUE
"MemoryBelief","Belief","AI Original","AI Original","None","Human Original",0.0910205444425885,0.0641804774603421,0.120677163813837,1,TRUE
"MemoryBelief","Belief","Human Forgery","AI Original","AI Copy","Human Original",-0.0357881111042352,-0.0602163592024022,-0.00899075483062285,0.995,TRUE
"MemoryBelief","Belief","Human Forgery","AI Original","AI Original","Human Original",-0.0242649882500857,-0.0494646713707826,0.00100935729386256,0.97,FALSE
"MemoryBelief","Belief","Human Forgery","AI Original","Human Forgery","Human Original",-0.0735116760303594,-0.102106088345553,-0.0434022070147567,1,TRUE
"MemoryBelief","Belief","Human Forgery","AI Original","Human Original","Human Original",-0.104708849826666,-0.129207492280641,-0.078342898850367,1,TRUE
"MemoryBelief","Belief","Human Forgery","AI Original","None","Human Original",0.035561171546983,0.012494673631896,0.0615729066436725,0.99875,TRUE
"MemoryBelief","Belief","Human Original","AI Original","AI Copy","Human Original",-0.0452390425010061,-0.0657949151198588,-0.0246367027849201,1,TRUE
"MemoryBelief","Belief","Human Original","AI Original","AI Original","Human Original",-0.0341341603495461,-0.0546880850979713,-0.0143435284599687,0.99975,TRUE
"MemoryBelief","Belief","Human Original","AI Original","Human Forgery","Human Original",-0.0828999048715772,-0.107633260488099,-0.0591289133183981,1,TRUE
"MemoryBelief","Belief","Human Original","AI Original","Human Original","Human Original",-0.114332264895605,-0.136574454013298,-0.092848700852485,1,TRUE
"MemoryBelief","Belief","Human Original","AI Original","None","Human Original",0.0259835133091414,0.0082239948036574,0.045504926454758,0.99725,TRUE
"MemoryBelief","Belief","None","AI Original","AI Copy","Human Original",-0.100345774756227,-0.122021147369826,-0.0798659316569733,1,TRUE
"MemoryBelief","Belief","None","AI Original","AI Original","Human Original",-0.0892102507600447,-0.110396557395138,-0.0695277758877832,1,TRUE
"MemoryBelief","Belief","None","AI Original","Human Forgery","Human Original",-0.138129831981625,-0.164540123160175,-0.113551373775273,1,TRUE
"MemoryBelief","Belief","None","AI Original","Human Original","Human Original",-0.169559021445286,-0.192482014449812,-0.146570290702946,1,TRUE
"MemoryBelief","Belief","None","AI Original","None","Human Original",-0.0290172850764911,-0.0395787385204029,-0.0188381387473909,1,TRUE
"MemoryBelief","Belief","AI Copy","Human Forgery","AI Original","Human Forgery",0.0139652995912069,-0.00125242631243486,0.0295323286285355,0.963,FALSE
"MemoryBelief","Belief","AI Copy","Human Forgery","Human Forgery","Human Forgery",-0.0117684622775138,-0.0291464453321869,0.00520332118428249,0.91475,FALSE
"MemoryBelief","Belief","AI Copy","Human Forgery","Human Original","Human Forgery",0.000377649724371848,-0.0120067817234571,0.0136255589415583,0.52575,FALSE
"MemoryBelief","Belief","AI Original","Human Forgery","Human Forgery","Human Forgery",-0.0256361823662481,-0.0431884987834531,-0.00889769844066384,0.99925,TRUE
"MemoryBelief","Belief","AI Original","Human Forgery","Human Original","Human Forgery",-0.0137229159482017,-0.025777968819732,-0.000508086988735771,0.978,TRUE
"MemoryBelief","Belief","Human Forgery","Human Forgery","Human Original","Human Forgery",0.0122710189569267,-0.00239296678213033,0.0277899256660905,0.94675,FALSE
"MemoryBelief","Belief","None","Human Forgery","AI Copy","Human Forgery",-0.0460189047813948,-0.0613563038827102,-0.0313920618472066,1,TRUE
"MemoryBelief","Belief","None","Human Forgery","AI Original","Human Forgery",-0.0319021631349212,-0.0469890998462955,-0.0184959334820183,1,TRUE
"MemoryBelief","Belief","None","Human Forgery","Human Forgery","Human Forgery",-0.0578267892581596,-0.075975273370392,-0.0407501326421849,1,TRUE
"MemoryBelief","Belief","None","Human Forgery","Human Original","Human Forgery",-0.0455407130838428,-0.0578126007290392,-0.0333661705570155,1,TRUE
"MemoryBelief","Belief","AI Copy","Human Forgery","AI Copy","Human Original",-0.0629641101194467,-0.0833860525561819,-0.0431280846370041,1,TRUE
"MemoryBelief","Belief","AI Copy","Human Forgery","AI Original","Human Original",-0.0517776709981912,-0.0705376272360831,-0.0331728207650116,1,TRUE
"MemoryBelief","Belief","AI Copy","Human Forgery","Human Forgery","Human Original",-0.100739558566482,-0.124267390456265,-0.0780227218795471,1,TRUE
"MemoryBelief","Belief","AI Copy","Human Forgery","Human Original","Human Original",-0.13205291352146,-0.153187182512862,-0.112980028497378,1,TRUE
"MemoryBelief","Belief","AI Copy","Human Forgery","None","Human Original",0.00834956146199793,-0.00957504803343888,0.0259914236118224,0.8175,FALSE
"MemoryBelief","Belief","AI Original","Human Forgery","AI Copy","Human Original",-0.0767377601255417,-0.0962899005175332,-0.0582486963060607,1,TRUE
"MemoryBelief","Belief","AI Original","Human Forgery","AI Original","Human Original",-0.0657947707899277,-0.0866597748148159,-0.0467182222166034,1,TRUE
"MemoryBelief","Belief","AI Original","Human Forgery","Human Forgery","Human Original",-0.114401126771053,-0.139009171397731,-0.0923493036680827,1,TRUE
"MemoryBelief","Belief","AI Original","Human Forgery","Human Original","Human Original",-0.145929896099759,-0.166373842442414,-0.126913825257944,1,TRUE
"MemoryBelief","Belief","AI Original","Human Forgery","None","Human Original",-0.00553155052566581,-0.0224506038087921,0.0118803871089272,0.7435,FALSE
"MemoryBelief","Belief","Human Forgery","Human Forgery","AI Copy","Human Original",-0.0511441820833549,-0.0711636107444052,-0.0312830190248946,1,TRUE
"MemoryBelief","Belief","Human Forgery","Human Forgery","AI Original","Human Original",-0.040177226886331,-0.0605943373667259,-0.0199453313510211,1,TRUE
"MemoryBelief","Belief","Human Forgery","Human Forgery","Human Forgery","Human Original",-0.0889704938482761,-0.114338523572778,-0.0636678280574707,1,TRUE
"MemoryBelief","Belief","Human Forgery","Human Forgery","Human Original","Human Original",-0.1201551576661,-0.141428025408744,-0.0999004177202193,1,TRUE
"MemoryBelief","Belief","Human Forgery","Human Forgery","None","Human Original",0.0200760906664908,-0.000385144372430272,0.0408560661556349,0.97375,FALSE
"MemoryBelief","Belief","Human Original","Human Forgery","AI Copy","Human Original",-0.0636130431004007,-0.0809120660341199,-0.046068997241297,1,TRUE
"MemoryBelief","Belief","Human Original","Human Forgery","AI Original","Human Original",-0.0521874694105244,-0.0698565586747236,-0.0357686176165096,1,TRUE
"MemoryBelief","Belief","Human Original","Human Forgery","Human Forgery","Human Original",-0.100952960770424,-0.12385249419017,-0.0805140462151496,1,TRUE
"MemoryBelief","Belief","Human Original","Human Forgery","Human Original","Human Original",-0.132376004902705,-0.152023875640159,-0.114537999541251,1,TRUE
"MemoryBelief","Belief","Human Original","Human Forgery","None","Human Original",0.00823394616923471,-0.00797319765263184,0.0232755401105788,0.83325,FALSE
"MemoryBelief","Belief","None","Human Forgery","AI Copy","Human Original",-0.109024003998763,-0.130693028622566,-0.0889453276968221,1,TRUE
"MemoryBelief","Belief","None","Human Forgery","AI Original","Human Original",-0.0977233894679199,-0.118213278960675,-0.0785650956819432,1,TRUE
"MemoryBelief","Belief","None","Human Forgery","Human Forgery","Human Original",-0.146740408457554,-0.172506224551243,-0.122634385625421,1,TRUE
"MemoryBelief","Belief","None","Human Forgery","Human Original","Human Original",-0.17800941369731,-0.201294988909463,-0.155073985736248,1,TRUE
"MemoryBelief","Belief","None","Human Forgery","None","Human Original",-0.0373894535329807,-0.0468545536673931,-0.0300223207409969,1,TRUE
"MemoryBelief","Belief","AI Copy","Human Original","AI Original","Human Original",0.0111255947557774,-0.00864883054231159,0.0307161732638024,0.864,FALSE
"MemoryBelief","Belief","AI Copy","Human Original","Human Forgery","Human Original",-0.0377137863519867,-0.0616528212307492,-0.0146332732104152,0.9995,TRUE
"MemoryBelief","Belief","AI Copy","Human Original","Human Original","Human Original",-0.06899476552071,-0.0878645903910584,-0.0509172573121865,1,TRUE
"MemoryBelief","Belief","AI Original","Human Original","Human Forgery","Human Original",-0.0489432330358787,-0.0727456927881555,-0.0261408983742625,1,TRUE
"MemoryBelief","Belief","AI Original","Human Original","Human Original","Human Original",-0.0802332641940372,-0.0994607767139133,-0.0615331663279469,1,TRUE
"MemoryBelief","Belief","Human Forgery","Human Original","Human Original","Human Original",-0.0315708544372465,-0.0527430746668308,-0.00983089610925846,0.99625,TRUE
"MemoryBelief","Belief","None","Human Original","AI Copy","Human Original",-0.0712238372683327,-0.0950985944235627,-0.0479967502163106,1,TRUE
"MemoryBelief","Belief","None","Human Original","AI Original","Human Original",-0.0601342478168142,-0.0832507137672689,-0.0376903070254311,1,TRUE
"MemoryBelief","Belief","None","Human Original","Human Forgery","Human Original",-0.109367769056107,-0.137476209176452,-0.0815042442659295,1,TRUE
"MemoryBelief","Belief","None","Human Original","Human Original","Human Original",-0.140774621407026,-0.166849880080045,-0.113899918203367,1,TRUE
"MemoryBelief","Belief","AI Copy","Not recognized","AI Copy","AI Copy",0.5726772341136,0.525362482275076,0.614079346641404,1,TRUE
"MemoryBelief","Belief","AI Copy","Not recognized","AI Original","AI Copy",0.568224958418717,0.521629110028824,0.608884330003014,1,TRUE
"MemoryBelief","Belief","AI Copy","Not recognized","Human Forgery","AI Copy",0.578173924722936,0.532132942797925,0.619500551596552,1,TRUE
"MemoryBelief","Belief","AI Copy","Not recognized","Human Original","AI Copy",0.588455105953722,0.544373692472056,0.627624776778702,1,TRUE
"MemoryBelief","Belief","AI Copy","Not recognized","None","AI Copy",0.606671821391308,0.565169519553059,0.642168301337071,1,TRUE
"MemoryBelief","Belief","AI Original","Not recognized","AI Copy","AI Copy",0.563340763598419,0.516963374148518,0.606187015467809,1,TRUE
