"Participant","Item","Gaze_Entropy","Gaze_Drift","Gaze_pLeft","Gaze_pCenter","Gaze_pTop","Gaze_nSamples"
"S006","51323.jpg",0.910863288861276,0.413079852670135,0.275862068965517,0.181034482758621,0.905172413793103,116
"S006","51326.jpg",0.876070812648511,0.192056349257949,0.0833333333333333,0.401515151515151,0.886363636363636,132
"S006","51328.jpg",0.853060702223224,0.0233061110619118,0.0408163265306122,0.401360544217687,0.863945578231292,147
"S009","10130.jpg",0.846400992517418,0.437997353099848,0.364583333333333,0.0520833333333333,0,96
"S009","10224.jpg",0.700553623394696,0.366615612495532,0.317829457364341,0.356589147286822,0.131782945736434,129
"S009","10226.jpg",0.836128888789016,0.169001237161768,0.559701492537313,0.425373134328358,0.313432835820896,134
"S009","10229.jpg",0.758362532389769,0.776386921951859,0.386206896551724,0.324137931034483,0.0551724137931034,145
"S009","10514.jpg",0.803563811975169,0.160359910388133,0.379310344827586,0.820689655172414,0.0206896551724138,145
"S009","10601.jpg",0.876903222993579,0.16111288264974,0.430555555555556,0.284722222222222,0,144
"S009","10609.jpg",0.75691141011596,0.0939425324774556,0.75886524822695,1,0.049645390070922,141
"S009","10624.jpg",0.768212454918751,0.141727268065571,0.416666666666667,0.826388888888889,0.00694444444444444,144
"S009","10632.jpg",0.812125842601191,0.149787453624192,0.586206896551724,0.993103448275862,0.186206896551724,145
"S009","10648.jpg",0.78848858558774,0.130578202544084,0.137931034482759,0.489655172413793,0,145
"S009","11014.jpg",0.827655437965083,0.267184136470829,0.23448275862069,0.655172413793103,0.131034482758621,145
"S009","11016.jpg",0.71811092453656,0.341527990920354,0.241379310344828,0.910344827586207,0.227586206896552,145
"S009","11026.jpg",0.854761506597451,0.074581521972188,0.821428571428571,0.392857142857143,0,140
"S009","11122.jpg",0.839220884017182,0.203143121159483,0.758620689655172,0,0,116
"S009","11126.jpg",0.843175982516599,0.0921422761315471,0.396694214876033,0.289256198347107,0,121
"S009","11127.jpg",0.773306860502594,0.148528687862407,0.959459459459459,0,0,74
"S009","20501.jpg",0.804257800806192,0.0152720198780704,1,0,0,93
"S009","20714.jpg",0.928831234997958,0.237924443673989,1,0,0,136
"S009","20718.jpg",0.845793297017833,0.134489867538662,0.756521739130435,0.982608695652174,0,115
"S009","21019.jpg",0.90023749593263,0.086401285083901,0.824,0.36,0,125
"S009","30211.jpg",0.733966888495586,0.0659583900069987,1,0.883211678832117,0.0948905109489051,137
"S009","30215.jpg",0.738769534584084,0.0697099811606105,1,0.601449275362319,0.0217391304347826,138
"S009","30403.jpg",0.795491585417162,0.00830046405372485,0.917293233082707,0.879699248120301,0,133
"S009","30408.jpg",0.849586070782243,0.268364590153916,1,0,0,137
"S009","30622.jpg",0.777533043719967,0.111217059299239,1,0.875,0,136
"S009","31006.jpg",0.712436303878842,0.0479718240411501,1,0,0,138
"S009","40207.jpg",0.694692943640114,0.0816880762002977,1,0.742857142857143,0,140
"S009","40215.jpg",0.639013795710125,0.136418402901605,0.798561151079137,0.985611510791367,0,139
"S009","40224.jpg",0.728194736592112,0.365196090188666,0.124137931034483,0.358620689655172,0.924137931034483,145
"S009","40229.jpg",0.801806097569981,0.25110161428907,0,0.216783216783217,0.895104895104895,143
"S009","40303.jpg",0.810040359007761,0.206790724907385,0.0354609929078014,0.737588652482269,0.695035460992908,141
"S009","40309.jpg",0.816102517680389,0.589361674070942,0.151724137931034,0.324137931034483,0.56551724137931,145
"S009","40716.jpg",0.877400573607693,0.436567316545157,0.375,0.347222222222222,0,144
"S009","41004.jpg",0.854133309963123,0.0240134897278107,0.914893617021277,0.631205673758865,0.191489361702128,141
"S009","41026.jpg",0.806552368065906,0.104576332432822,0.215384615384615,0.484615384615385,0,130
"S009","50815.jpg",0.842462527303652,0.267516392735355,0.917355371900826,0.0413223140495868,0,121
"S009","50937.jpg",0.889131578694077,0.114584178909052,0.592920353982301,0.398230088495575,0,113
"S009","51003.jpg",0.740997317735819,0.170385834683056,0.7,0,0,30
