"Model","Predictor","Level","Response","Median","CI_low","CI_high"
"MemoryBelief","Belief","Human Original","Not recognized",0.600840098690565,0.562858064695467,0.635144554432655
"MemoryBelief","Belief","None","AI Copy",0.0114389803396924,0.00887573272564416,0.0148898987661871
"MemoryBelief","Belief","None","AI Original",0.0357053712181855,0.0287088715417279,0.0456447616327246
"MemoryBelief","Belief","None","Human Forgery",0.0273182566750557,0.0228046292915694,0.0331384347577965
"MemoryBelief","Belief","None","Human Original",0.0646778406440114,0.0562653759523827,0.0761426100970285
"MemoryBelief","Belief","None","Not recognized",0.860568411724207,0.836973190099129,0.877932618882615
"MemoryCondition","Condition","AI-Generated","AI-Generated",0.14554189513142,0.128180508419403,0.165480656603348
"MemoryCondition","Condition","AI-Generated","Human Forgery",0.0651597642547428,0.0566546887380621,0.0749110257659279
"MemoryCondition","Condition","AI-Generated","Human Original",0.214018361994607,0.194255049005728,0.235770574862307
"MemoryCondition","Condition","AI-Generated","Not recognized",0.574483246689558,0.540083346236422,0.608005046000843
"MemoryCondition","Condition","Human Forgery","AI-Generated",0.139590493098723,0.122420966959579,0.158519552084734
"MemoryCondition","Condition","Human Forgery","Human Forgery",0.0669221450893007,0.0578917052131017,0.0768350186095125
"MemoryCondition","Condition","Human Forgery","Human Original",0.218803696596445,0.199110443392574,0.240274308204529
"MemoryCondition","Condition","Human Forgery","Not recognized",0.574177195450406,0.541074622835537,0.607472555015756
"MemoryCondition","Condition","Human Original","AI-Generated",0.147916822877389,0.129809721338796,0.167438108592212
"MemoryCondition","Condition","Human Original","Human Forgery",0.0633770770779044,0.0550236131243849,0.0724273047512261
"MemoryCondition","Condition","Human Original","Human Original",0.226996022273285,0.207145360136559,0.248644245664596
"MemoryCondition","Condition","Human Original","Not recognized",0.561245820080524,0.52688417803246,0.594658752811859
"MemoryCondition","Condition","New Items","AI-Generated",0.0364191335226482,0.0309565712558099,0.0438048572734042
"MemoryCondition","Condition","New Items","Human Forgery",0.0167052177860143,0.013743493103634,0.0202865101966033
"MemoryCondition","Condition","New Items","Human Original",0.0602526774366843,0.0525780933326708,0.0692329624655406
"MemoryCondition","Condition","New Items","Not recognized",0.886412905257751,0.870093392579088,0.899343546217147
"MemoryConditionBelief","Belief","AI Copy","AI-Generated",0.158330366843159,0.143659140618801,0.173088497419243
"MemoryConditionBelief","Belief","AI Copy","Human Forgery",0.0627711143809881,0.0536707824244856,0.0728766851633899
"MemoryConditionBelief","Belief","AI Copy","Human Original",0.195933922980029,0.180514341868085,0.212630612174858
"MemoryConditionBelief","Belief","AI Copy","Not recognized",0.582750737977886,0.56410394572705,0.601730184716934
"MemoryConditionBelief","Belief","AI Original","AI-Generated",0.188017002479328,0.172395598201659,0.205293424738769
"MemoryConditionBelief","Belief","AI Original","Human Forgery",0.052154957866843,0.0425962727475676,0.0624907978091996
"MemoryConditionBelief","Belief","AI Original","Human Original",0.190892896451276,0.174548221102048,0.207932759661716
"MemoryConditionBelief","Belief","AI Original","Not recognized",0.568670792874321,0.548428463653802,0.587657431370758
"MemoryConditionBelief","Belief","Human Forgery","AI-Generated",0.139768529026884,0.121955338547694,0.158947856844136
"MemoryConditionBelief","Belief","Human Forgery","Human Forgery",0.0726273994102121,0.0598056344260156,0.0867047108643295
"MemoryConditionBelief","Belief","Human Forgery","Human Original",0.22466208741756,0.204246305620502,0.246529037278402
"MemoryConditionBelief","Belief","Human Forgery","Not recognized",0.562588848330655,0.537823961469123,0.587467973255972
"MemoryConditionBelief","Belief","Human Original","AI-Generated",0.118715643144949,0.109600343697994,0.128472130167658
"MemoryConditionBelief","Belief","Human Original","Human Forgery",0.0707172076428295,0.0638494210109649,0.0780524934465105
"MemoryConditionBelief","Belief","Human Original","Human Original",0.246062406337893,0.234438926012582,0.257634231046349
"MemoryConditionBelief","Belief","Human Original","Not recognized",0.564499286838456,0.55136342211152,0.577683415535565
