"Model","Parameter","Contrast","At","Moderator","Median","CI_low","CI_high","pd","Table"
"BeautySRControl","response","AI-Generated - Human Forgery","High - Low",NA,1.10379007183082,-1.52923404048375,4.15412001344074,0.782,"Gap"
"BeautySRControl","response","Human Original",NA,NA,1.07534937141734,0.656506724500239,1.52724369339763,1,"SR slope"
"BeautySRControl","response","Human Forgery",NA,NA,1.0576538436402,0.587837805944291,1.52358023983684,1,"SR slope"
"BeautySRControl","response","AI-Generated",NA,NA,1.30295526379273,0.806251184200912,1.83401833051233,1,"SR slope"
"BeautySRControl","response","AI-Generated - Human Original",NA,NA,0.226498035285017,-0.35283522151669,0.80643702726213,0.77475,"SR slope"
"BeautySRControl","response","Human Forgery - Human Original",NA,NA,-0.0140678732646893,-0.591412416383275,0.520508720689539,0.51725,"SR slope"
"BeautySRControl","response","AI-Generated - Human Forgery",NA,NA,0.248315295244078,-0.342836512668643,0.937713178948751,0.78325,"SR slope"
"BeautySRControl","response","Human Original",NA,NA,4.85223332064144,4.19633622751028,5.52422772949699,1,"Beauty2 slope"
"BeautySRControl","response","Human Forgery",NA,NA,4.85786467234077,4.218322741749,5.58072121141852,1,"Beauty2 slope"
"BeautySRControl","response","AI-Generated",NA,NA,4.71598571958141,4.03020323973334,5.32234716987978,1,"Beauty2 slope"
"BeautySRControl","response","AI-Generated - Human Original",NA,NA,-0.139768812101726,-0.855446226321694,0.540113440316831,0.648,"Beauty2 slope"
"BeautySRControl","response","Human Forgery - Human Original",NA,NA,0.0059939184744926,-0.642548004523302,0.595785893639406,0.50825,"Beauty2 slope"
"BeautySRControl","response","AI-Generated - Human Forgery",NA,NA,-0.149538307618382,-0.925505861144472,0.506557091873765,0.656,"Beauty2 slope"
"BeautySRControl","mu","AI-Generated - Human Original","Low",-0.227550940030373,-16.9246989896718,-22.7478260051264,-11.2768280777766,1,"Gap"
"BeautySRControl","mu","AI-Generated - Human Original","Average",0,-13.6980224204678,-17.9374631835949,-9.4459652532427,1,"Gap"
"BeautySRControl","mu","AI-Generated - Human Original","High",0.227550940030373,-10.1180551056889,-16.1114779685243,-4.80275037810298,1,"Gap"
"BeautySRControl","mu","AI-Generated - Human Original","High - Low",NA,6.8439018159033,-0.778234298212555,14.4310497078202,0.96,"Gap"
"BeautySRControl","mu","Human Forgery - Human Original","Low",-0.227550940030373,-6.95800759949897,-12.2622864345989,-1.7171779091069,0.993,"Gap"
"BeautySRControl","mu","Human Forgery - Human Original","Average",0,-5.8279753718684,-9.48682706736473,-2.06025960131541,0.9985,"Gap"
"BeautySRControl","mu","Human Forgery - Human Original","High",0.227550940030373,-4.63896877932579,-10.0482885335892,0.154700506088468,0.9665,"Gap"
"BeautySRControl","mu","Human Forgery - Human Original","High - Low",NA,2.23493362959539,-4.8498026130356,10.0196234366022,0.7105,"Gap"
"BeautySRControl","mu","AI-Generated - Human Forgery","Low",-0.227550940030373,-10.0604935326422,-16.3583003193593,-4.21880303659443,0.9995,"Gap"
"BeautySRControl","mu","AI-Generated - Human Forgery","Average",0,-7.89830843282296,-12.5275939891711,-3.51796572327762,0.999,"Gap"
"BeautySRControl","mu","AI-Generated - Human Forgery","High",0.227550940030373,-5.37079370153359,-11.4260519570151,1.16292638511968,0.95825,"Gap"
"BeautySRControl","mu","AI-Generated - Human Forgery","High - Low",NA,4.67378156320797,-4.58779978721167,13.0799544557971,0.8555,"Gap"
"BeautySRControl","mu","Human Original",NA,NA,2.31760295044608,1.04117758602984,3.63686636914695,1,"SR slope"
"BeautySRControl","mu","Human Forgery",NA,NA,2.80721792044836,1.4006819451084,4.2330188140387,1,"SR slope"
"BeautySRControl","mu","AI-Generated",NA,NA,3.84974838535596,2.26951829633226,5.39624761316182,1,"SR slope"
"BeautySRControl","mu","AI-Generated - Human Original",NA,NA,1.54052126610713,-0.163876713442535,3.26843554937195,0.96,"SR slope"
"BeautySRControl","mu","Human Forgery - Human Original",NA,NA,0.500567697159893,-1.07444517331212,2.24155931432068,0.71125,"SR slope"
"BeautySRControl","mu","AI-Generated - Human Forgery",NA,NA,1.05311708953659,-1.12167049499851,2.87368897693085,0.85625,"SR slope"
"BeautySRControl","mu","Human Original",NA,NA,11.6749609355319,9.66186348860268,13.5800921350687,1,"Beauty2 slope"
"BeautySRControl","mu","Human Forgery",NA,NA,12.4658023045297,10.5489183710563,14.3548011415832,1,"Beauty2 slope"
