"Item","Participant","Condition","Trial1","CueColor","ScreenWidth","ScreenHeight","Beauty","Valence","Meaning","Worth","Trial2","Reality","Authenticity","Category","Subcategory","Style","Artist","Title","Norms_Liking","Norms_Valence","Norms_Arousal","Norms_Complexity","Norms_Familiarity","ManipulationDistrust","SelfRelevance","Beauty2","Emotion"
"30620.jpg","S222","Human Forgery",30,"Red",1920,1080,0.741666666666667,0.666666666666667,0.5,0.4,20,0.755,0.29,"Landscape","Postimpressionistic tendencies","Impressionist and Expressionist","Bernard, Émile","Molosmes-Yonne",0.793650793650794,0.847222222222222,0.2125,0.590909090909091,0.916666666666667,0,0.333333333333333,0.99,"Positive - Low intensity"
"30622.jpg","S222","Human Forgery",32,"Red",1920,1080,0.886666666666667,0.666666666666667,0.5,0.4,35,0.885,0.3,"Landscape","Postimpressionistic tendencies","Impressionist and Expressionist","Gauguin, Paul","Apatarao",0.650793650793651,0.763888888888889,0.225,0.568181818181818,0.5,0,0.166666666666667,0.89,"Positive - Low intensity"
"31006.jpg","S222","Human Forgery",15,"Red",1920,1080,0.866666666666667,0.833333333333333,0.5,0.6,21,0.825,0.725,"Landscape","Realistic tendencies II. (20th century)","Romantic and Realism","O`Keeffe, Giorgia","Ends of Barns",0.73015873015873,0.861111111111111,0,0.170454545454545,0.0833333333333334,0,0.666666666666667,0.98,"Positive - Low intensity"
"40207.jpg","S222","AI-Generated",17,"Green",1920,1080,0.83,0.166666666666667,0.833333333333333,0.2,45,0.965,1,"Still Life","Baroque and Rococo","Classical","Zurbarán de, Francisco","Agnus Dei",0.444444444444445,0.0277777777777778,0.7875,0.454545454545455,0.416666666666667,0,0.5,0.83,"Negative - High intensity"
"40215.jpg","S222","Human Forgery",11,"Red",1920,1080,0.863333333333333,0.666666666666667,0.5,0.6,26,0.855,0.725,"Still Life","Baroque and Rococo","Classical","Heda, Willem Claesz.","Still Life with Silver Goblets",0.365079365079365,0.388888888888889,0.375,0.681818181818182,0.75,0,0.666666666666667,0.876666666666667,"Negative - Low intensity"
"40224.jpg","S222","Human Original",14,"Blue",1920,1080,0.71,0.666666666666667,0.666666666666667,0.4,14,0.845,0.715,"Still Life","Baroque and Rococo","Classical","Snyders, Frans","Three Monkeys with Fruit",0.793650793650794,0.638888888888889,0.825,0.954545454545454,0.583333333333333,0,0,0.966666666666667,"Positive - High intensity"
"40229.jpg","S222","AI-Generated",10,"Green",1920,1080,0.296666666666667,0.166666666666667,0.833333333333333,0.2,42,0.71,0.69,"Still Life","Baroque and Rococo","Classical","Chardin, Jean Siméon","Dead Hare with Powder Flask and Game-bag",0,0.111111111111111,0.65,0.534090909090909,0.666666666666667,0,0,0.791666666666667,"Negative - High intensity"
"40303.jpg","S222","AI-Generated",9,"Green",1920,1080,0.735,0.166666666666667,0.833333333333333,0.2,18,0.655,0.335,"Still Life","Idealistic tendencies","Romantic and Realism","Courbet, Jean Désiré Gustave","The Deer",0.26984126984127,0,0.8625,0.625,0.0833333333333334,0,0.5,0.795,"Negative - High intensity"
"40309.jpg","S222","Human Forgery",29,"Red",1920,1080,0.301666666666667,0.333333333333333,0.666666666666667,0.4,6,0.9,0.785,"Still Life","Idealistic tendencies","Romantic and Realism","Goya de, Francisco José","Still Life with Golden Bream",0.333333333333333,0.291666666666667,0.35,0.443181818181818,0.583333333333333,0,0.5,0.845,"Negative - Low intensity"
"40716.jpg","S222","AI-Generated",21,"Green",1920,1080,0.778333333333333,0.5,0,0.4,19,0.37,0.37,"Still Life","Expressionistic tendencies","Impressionist and Expressionist","Morandi, Giorgio","Still Life",0.317460317460317,0.652777777777778,0.05,0.125,0.5,0,0.166666666666667,0.213333333333333,"Positive - Low intensity"
"41004.jpg","S222","AI-Generated",7,"Green",1920,1080,0.693333333333333,0.166666666666667,0.833333333333333,0.2,30,0.9,0.78,"Still Life","Realistic tendencies II. (20th century)","Romantic and Realism","Barraud, François","Tulips perroquets",0.380952380952381,0.375,0.2875,0.488636363636364,1,0,0.666666666666667,0.821666666666667,"Negative - Low intensity"
"41026.jpg","S222","AI-Generated",44,"Green",1920,1080,0.188333333333333,0.333333333333333,0.333333333333333,0,25,0.245,0.165,"Still Life","Realistic tendencies II. (20th century)","Romantic and Realism","Richter, Gerhard","Küchenstuhl",0.571428571428571,0.402777777777778,0.3125,0.295454545454545,0.333333333333333,0,0.166666666666667,0.691666666666667,"Negative - Low intensity"
"50815.jpg","S222","Human Forgery",12,"Red",1920,1080,0.755,0.666666666666667,0.333333333333333,0.4,11,0.905,0.33,"Abstract","Cubistic tendencies","Abstract and Avant-garde","Kupka, František","Untitled",0.492063492063492,0.819444444444444,0.75,0.420454545454545,0.583333333333333,0,0.666666666666667,0.938333333333333,"Positive - High intensity"
"50937.jpg","S222","AI-Generated",18,"Green",1920,1080,0.5,0.5,0,0,13,0.76,0.355,"Abstract","Constructivist tendencies","Abstract and Avant-garde","Albers, Josef","Homage to the Square",0.396825396825397,0.486111111111111,0.1875,0.170454545454545,1,0,0,0.095,"Negative - Low intensity"
"51003.jpg","S222","Human Original",27,"Blue",1920,1080,0.941666666666667,0.833333333333333,0.5,0.6,1,0.23,0.725,"Abstract","Realistic tendencies II. (20th century)","Abstract and Avant-garde","O`Keeffe, Georgia","Abstraction Blue",0.761904761904762,0.777777777777778,0.21875,0.35,0.278333333333333,0,0.666666666666667,0.948333333333333,"Positive - Low intensity"
"51204.jpg","S222","Human Original",13,"Blue",1920,1080,0.346666666666667,0.5,0.166666666666667,0.2,38,0.845,0.36,"Abstract","Informel tendencies","Abstract and Avant-garde","Götz, Karl Otto","Giverny VII",0.666666666666667,0.736111111111111,0.9125,0.704545454545454,0.833333333333333,0,0.166666666666667,0.831666666666667,"Positive - High intensity"
"51208.jpg","S222","Human Forgery",22,"Red",1920,1080,0.703333333333333,0.5,0,0.2,39,0.855,0.3,"Abstract","Informel tendencies","Abstract and Avant-garde","Richter, Gerhard","Abstraktes Bild Courbet",0.428571428571429,0.708333333333333,0.8875,0.931818181818182,0.75,0,0.166666666666667,0.93,"Positive - High intensity"
"51322.jpg","S222","Human Original",31,"Blue",1920,1080,0.435,0.5,0,0,4,0.75,0.385,"Abstract","Abstract expressionistic tendencies","Abstract and Avant-garde","Albers, Josef","Homage to the Square, Decided",0.0793650793650794,0.430555555555556,0.225,0.0227272727272727,0.583333333333333,0,0,0.231666666666667,"Negative - Low intensity"
"51323.jpg","S222","Human Forgery",33,"Red",1920,1080,0.45,0.333333333333333,0,0.2,7,0.75,0.305,"Abstract","Abstract expressionistic tendencies","Abstract and Avant-garde","Newman, Barnett","Two Edges",0.555555555555555,0.777777777777778,0.175,0.136363636363636,0.166666666666666,0,0.5,0.375,"Positive - Low intensity"
"51326.jpg","S222","AI-Generated",47,"Green",1920,1080,0.893333333333333,0.666666666666667,0,0.2,3,0.245,0.79,"Abstract","Abstract expressionistic tendencies","Abstract and Avant-garde","Olitski, Jules","Lysander I",0.444444444444445,0.916666666666667,0.2375,0.113636363636364,0.833333333333333,0,0,0.731666666666667,"Positive - Low intensity"
"51328.jpg","S222","AI-Generated",28,"Green",1920,1080,0.32,0.5,0.5,0.2,31,0.845,0.29,"Abstract","Abstract expressionistic tendencies","Abstract and Avant-garde","Rothko, Mark","Untitled",0.0952380952380953,0.5,0.1,0,0.833333333333333,0,0,0.143333333333333,"Negative - Low intensity"
"10130.jpg","S092","Human Forgery",15,"Green",1280,800,0.548333333333333,0.5,0.5,0.4,6,0.425,0.545,"Scene","Renaissance and Mannerism","Classical","School of Fontainbleau","Charon Crossing the Styx",0.53968253968254,0.680555555555555,0.7625,0.625,0.833333333333333,3,NA,NA,"Positive - High intensity"
"10224.jpg","S092","AI-Generated",6,"Red",1280,800,0.435,0.166666666666667,0.166666666666667,0.2,5,0.53,0.565,"Scene","Baroque and Rococo","Classical","Ribera de, Jusepe","Martyrdom of Saint Philip",0.349206349206349,0.0833333333333334,0.7,0.806818181818182,0.333333333333333,3,NA,NA,"Negative - High intensity"
"10226.jpg","S092","Human Forgery",11,"Green",1280,800,0.578333333333333,0.833333333333333,0.666666666666667,0.4,21,0.545,0.555,"Scene","Baroque and Rococo","Classical","Velázquez, Diego","Apollo in the Forge of Vulcan",0.746031746031746,0.708333333333333,0.6125,0.784090909090909,0.5,3,NA,NA,"Positive - High intensity"
"10229.jpg","S092","Human Original",31,"Blue",1280,800,0.623333333333333,0.833333333333333,0.666666666666667,0.6,23,0.425,0.58,"Scene","Baroque and Rococo","Classical","Zurbarán de, Francisco","Christ and the Virgin in the House at Nazareth",0.555555555555555,0.361111111111111,0.3375,0.761363636363636,0.333333333333333,3,NA,NA,"Negative - Low intensity"
"10514.jpg","S092","Human Original",13,"Blue",1280,800,0.585,0.666666666666667,0.666666666666667,0.4,15,0.59,0.56,"Scene","Impressionistic tendencies","Impressionist and Expressionist","Slevogt, Max","The Dancer Marietta di Rigardo",0.968253968253968,0.861111111111111,0.7,0.761363636363636,0,3,NA,NA,"Positive - High intensity"
"10601.jpg","S092","Human Original",42,"Blue",1280,800,0.578333333333333,0.666666666666667,0.5,0.4,19,0.55,0.55,"Scene","Postimpressionistic tendencies","Impressionist and Expressionist","Boccioni, Umberto","Riot in the Galleria (A Brawl)",0.73015873015873,0.611111111111111,0.9125,0.761363636363636,0.75,3,NA,NA,"Positive - High intensity"
"10609.jpg","S092","Human Original",43,"Blue",1280,800,0.721666666666667,0.833333333333333,0.833333333333333,0.6,8,0.44,0.565,"Scene","Postimpressionistic tendencies","Impressionist and Expressionist","Seurat, Georges-Pierre","Chorus in a Night Club (Le Chahut)",0.714285714285714,0.791666666666667,0.75,0.602272727272727,0.583333333333333,3,NA,NA,"Positive - High intensity"
"10624.jpg","S092","Human Original",34,"Blue",1280,800,0.608333333333333,0.833333333333333,0.833333333333333,0.6,27,0.47,0.57,"Scene","Postimpressionistic tendencies","Impressionist and Expressionist","Ensor, James","The Rower",0.365079365079365,0.236111111111111,0.2375,0.568181818181818,0.583333333333333,3,NA,NA,"Negative - Low intensity"
"10632.jpg","S092","AI-Generated",20,"Red",1280,800,0.586666666666667,0.666666666666667,0.333333333333333,0.2,43,0.46,0.45,"Scene","Postimpressionistic tendencies","Impressionist and Expressionist","Sérusier, Paul","The Downpour",0.476190476190476,0.333333333333333,0.2875,0.397727272727273,0.0833333333333334,3,NA,NA,"Negative - Low intensity"
"10648.jpg","S092","AI-Generated",32,"Red",1280,800,0.431666666666667,0.333333333333333,0.166666666666667,0.2,34,0.545,0.55,"Scene","Postimpressionistic tendencies","Impressionist and Expressionist","Rousseau, Henri","War",0.301587301587302,0.152777777777778,1,0.75,0.583333333333333,3,NA,NA,"Negative - High intensity"
"11014.jpg","S092","AI-Generated",39,"Red",1280,800,0.328333333333333,0.166666666666667,0.166666666666667,0.2,9,0.545,0.46,"Scene","Realistic tendencies II. (20th century)","Romantic and Realism","Beckmann, Max","The Night",0.174603174603175,0.0555555555555556,0.8625,0.977272727272727,0.75,3,NA,NA,"Negative - High intensity"
"11016.jpg","S092","Human Original",8,"Blue",1280,800,0.375,0.166666666666667,0.5,0,17,0.535,0.465,"Scene","Realistic tendencies II. (20th century)","Romantic and Realism","Dix, Otto","The Seven Deadly Sins",0.19047619047619,0.0972222222222222,0.8625,0.840909090909091,0.583333333333333,3,NA,NA,"Negative - High intensity"
"11026.jpg","S092","Human Original",10,"Blue",1280,800,0.725,0.666666666666667,0.666666666666667,0.6,26,0.44,0.545,"Scene","Realistic tendencies II. (20th century)","Romantic and Realism","Fischl, Eric","Barbecue",0.634920634920635,0.722222222222222,0.775,0.693181818181818,0.75,3,NA,NA,"Positive - High intensity"
"11122.jpg","S092","Human Forgery",29,"Green",1280,800,0.561666666666667,0.666666666666667,0.5,0.2,40,0.45,0.45,"Scene","Surrealistic tendencies","Abstract and Avant-garde","Tooker, George","Subway",0.936507936507937,0.208333333333333,0.85,0.852272727272727,0.416666666666667,3,NA,NA,"Negative - High intensity"
"11126.jpg","S092","AI-Generated",44,"Red",1280,800,0.353333333333333,0.166666666666667,0,0,46,0.55,0.56,"Scene","Surrealistic tendencies","Abstract and Avant-garde","Fuchs, Ernst","Triumph des Einhorns",0.365079365079365,0.152777777777778,1,1,0.25,3,NA,NA,"Negative - High intensity"
"11127.jpg","S092","Human Forgery",5,"Green",1280,800,0.385,0.333333333333333,0.5,0.2,12,0.445,0.465,"Scene","Surrealistic tendencies","Abstract and Avant-garde","Fuchs, Ernst","Der Tanz mit dem Tod",0.428571428571429,0.148055555555556,0.8375,0.909090909090909,0.333333333333333,3,NA,NA,"Negative - High intensity"
"20127.jpg","S092","Human Forgery",25,"Green",1280,800,0.575,0.666666666666667,0.666666666666667,0.4,14,0.435,0.445,"Portrait","Renaissance and Mannerism","Classical","Bronzino, Agnolo","Portrait of an Elderly Lady",0.291111111111111,0.328611111111111,0.35,0.536363636363636,0.513333333333334,3,NA,NA,"Negative - Low intensity"
"20501.jpg","S092","Human Forgery",3,"Green",1280,800,0.531666666666667,0.5,0.666666666666667,0.4,36,0.61,0.435,"Portrait","Impressionistic tendencies","Impressionist and Expressionist","Degas, Edgar","Duchess of Montejasi",0.206349206349206,0.305555555555556,0.2875,0.5,0.25,3,NA,NA,"Negative - Low intensity"
"20714.jpg","S092","AI-Generated",41,"Red",1280,800,0.383333333333333,0.166666666666667,0,0,48,0.42,0.43,"Portrait","Expressionistic tendencies","Impressionist and Expressionist","Nolde, Emil","Frau mit roter Kapuze",0.619047619047619,0.125,0.8875,0.545454545454545,0,3,NA,NA,"Negative - High intensity"
"20718.jpg","S092","Human Forgery",33,"Green",1280,800,0.398333333333333,0.333333333333333,0.5,0.2,13,0.55,0.575,"Portrait","Expressionistic tendencies","Impressionist and Expressionist","Bacon, Francis","Studie nach Velazquez Porträt von Papst Innozenz X.",0.634920634920635,0.166666666666667,0.9625,0.704545454545454,0.333333333333333,3,NA,NA,"Negative - High intensity"
"21019.jpg","S092","AI-Generated",28,"Red",1280,800,0.466666666666667,0.5,0.166666666666667,0,29,0.545,0.565,"Portrait","Realistic tendencies II. (20th century)","Romantic and Realism","Ramos, Mel","Monterey Jackie",0.523809523809524,0.763888888888889,0.7875,0.340909090909091,0,3,NA,NA,"Positive - High intensity"
"21022.jpg","S092","Human Forgery",27,"Green",1280,800,0.56,0.666666666666667,0.5,0.2,7,0.42,0.45,"Portrait","Realistic tendencies II. (20th century)","Romantic and Realism","Warhol, Andy","David Hockney",0.777777777777778,0.708333333333333,0.725,0.511363636363636,0.25,3,NA,NA,"Positive - High intensity"
"30201.jpg","S092","Human Forgery",45,"Green",1280,800,0.636666666666667,0.666666666666667,0.666666666666667,0.2,10,0.425,0.57,"Landscape","Baroque and Rococo","Classical","Carracci, Annibale","River Landscape",1,0.875,0.225,0.784090909090909,0.916666666666667,3,NA,NA,"Positive - Low intensity"
"30211.jpg","S092","Human Original",35,"Blue",1280,800,0.586666666666667,0.666666666666667,0.5,0.4,20,0.435,0.56,"Landscape","Baroque and Rococo","Classical","Goyen van, Jan","Landscape with Dunes",0.777777777777778,0.805555555555555,0.25,0.579545454545454,0.75,3,NA,NA,"Positive - Low intensity"
"30215.jpg","S092","AI-Generated",48,"Red",1280,800,0.328333333333333,0.5,0,0,1,0.685,0.445,"Landscape","Baroque and Rococo","Classical","Koninck de, Philips","A Panoramic Landscape with a County Estate",0.73015873015873,0.680555555555555,0.1375,0.681818181818182,0.583333333333333,3,NA,NA,"Positive - Low intensity"
"30403.jpg","S092","Human Original",14,"Blue",1280,800,0.581666666666667,0.833333333333333,0.666666666666667,0.6,39,0.435,0.445,"Landscape","Realistic tendencies I. (19th century)","Romantic and Realism","Gauermann, Friedrich","Der hohe Steinberg bei Berchtesgaden",0.984126984126984,0.972222222222222,0.2875,0.670454545454545,0.75,3,NA,NA,"Positive - Low intensity"
"30408.jpg","S092","Human Original",18,"Blue",1280,800,0.623333333333333,0.666666666666667,0.666666666666667,0.6,4,0.41,0.58,"Landscape","Realistic tendencies I. (19th century)","Romantic and Realism","Waldmüller, Ferdinand","View in the Prater",0.952380952380952,1,0.2875,0.704545454545454,0.833333333333333,3,NA,NA,"Positive - Low intensity"
"30620.jpg","S092","Human Forgery",16,"Green",1280,800,0.571666666666667,0.666666666666667,0.666666666666667,0.4,45,0.445,0.44,"Landscape","Postimpressionistic tendencies","Impressionist and Expressionist","Bernard, Émile","Molosmes-Yonne",0.793650793650794,0.847222222222222,0.2125,0.590909090909091,0.916666666666667,3,NA,NA,"Positive - Low intensity"
"30622.jpg","S092","Human Forgery",7,"Green",1280,800,0.576666666666667,0.666666666666667,0.5,0.4,11,0.55,0.59,"Landscape","Postimpressionistic tendencies","Impressionist and Expressionist","Gauguin, Paul","Apatarao",0.650793650793651,0.763888888888889,0.225,0.568181818181818,0.5,3,NA,NA,"Positive - Low intensity"
"31006.jpg","S092","Human Forgery",22,"Green",1280,800,0.586666666666667,0.833333333333333,0.666666666666667,0.4,32,0.54,0.555,"Landscape","Realistic tendencies II. (20th century)","Romantic and Realism","O`Keeffe, Giorgia","Ends of Barns",0.73015873015873,0.861111111111111,0,0.170454545454545,0.0833333333333334,3,NA,NA,"Positive - Low intensity"
"40207.jpg","S092","AI-Generated",17,"Red",1280,800,0.256666666666667,0.166666666666667,0.166666666666667,0,47,0.555,0.45,"Still Life","Baroque and Rococo","Classical","Zurbarán de, Francisco","Agnus Dei",0.444444444444445,0.0277777777777778,0.7875,0.454545454545455,0.416666666666667,3,NA,NA,"Negative - High intensity"
"40215.jpg","S092","AI-Generated",12,"Red",1280,800,0.531666666666667,0.5,0.5,0.2,25,0.55,0.55,"Still Life","Baroque and Rococo","Classical","Heda, Willem Claesz.","Still Life with Silver Goblets",0.365079365079365,0.388888888888889,0.375,0.681818181818182,0.75,3,NA,NA,"Negative - Low intensity"
