"Participant","Item","RT","Recognition","PerceivedArtificiality","AnswerCondition","AnswerBelief","Condition","Trial1","CueColor","ScreenWidth","ScreenHeight","Beauty","Valence","Meaning","Worth","Trial2","Reality","Authenticity","Category","Subcategory","Style","Artist","Title","Norms_Liking","Norms_Valence","Norms_Arousal","Norms_Complexity","Norms_Familiarity","ManipulationDistrust","SelfRelevance","Beauty2","Emotion","Type","Belief"
"S120","40215.jpg",11.893,"No",-0.2,"Not recognized","Not recognized","AI-Generated",23,"Green",1920,953,0.648333333333333,0.5,0.166666666666667,0.2,19,0.685,0.77,"Still Life","Baroque and Rococo","Classical","Heda, Willem Claesz.","Still Life with Silver Goblets",0.365079365079365,0.388888888888889,0.375,0.681818181818182,0.75,0,0.333333333333333,0.366666666666667,"Negative - Low intensity","Old","Human Original"
"S120","10124.jpg",11.323,"No",0.2,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","41004.jpg",12.245,"Yes",NA,"AI-Generated","AI Original","AI-Generated",46,"Green",1920,953,0.603333333333333,0.666666666666667,0,0.2,15,0.735,0.3,"Still Life","Realistic tendencies II. (20th century)","Romantic and Realism","Barraud, François","Tulips perroquets",0.380952380952381,0.375,0.2875,0.488636363636364,1,0,0.5,0.568333333333333,"Negative - Low intensity","Old","Human Forgery"
"S120","10648.jpg",13.136,"No",0.1,"Not recognized","Not recognized","AI-Generated",10,"Green",1920,953,0.735,0.666666666666667,0.666666666666667,0.6,16,0.365,0.66,"Scene","Postimpressionistic tendencies","Impressionist and Expressionist","Rousseau, Henri","War",0.301587301587302,0.152777777777778,1,0.75,0.583333333333333,0,0.5,0.55,"Negative - High intensity","Old","AI Original"
"S120","20203.jpg",10.124,"No",-0.3,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","30211.jpg",9.818,"No",-0.3,"Not recognized","Not recognized","AI-Generated",43,"Green",1920,953,0.5,0.5,0.166666666666667,0.2,40,0.2,0.26,"Landscape","Baroque and Rococo","Classical","Goyen van, Jan","Landscape with Dunes",0.777777777777778,0.805555555555555,0.25,0.579545454545454,0.75,0,0.333333333333333,0.366666666666667,"Positive - Low intensity","Old","AI Copy"
"S120","51015.jpg",11.452,"No",0.5,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","51339.jpg",8.748,"No",-0.3,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","51322.jpg",12.759,"Yes",NA,"AI-Generated","AI Original","AI-Generated",41,"Green",1920,953,0.5,0.5,0,0,20,0.3,0.67,"Abstract","Abstract expressionistic tendencies","Abstract and Avant-garde","Albers, Josef","Homage to the Square, Decided",0.0793650793650794,0.430555555555556,0.225,0.0227272727272727,0.583333333333333,0,0.166666666666667,0.345,"Negative - Low intensity","Old","AI Original"
"S120","20210.jpg",12.352,"No",-0.1,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
