"Parameter","At","Level","Median","CI_low","CI_high","pd"
"confleft",-0.2,"AI-Generated - Human Forgery",-0.581427527763856,-1.47073707432877,0.249203384997676,0.91125
"response",0,"Human Original",2.0038094996162,1.52255884971242,2.45220365368293,1
"response",0,"Human Forgery",1.57432161698573,1.06082749429293,2.07164949962413,1
"response",0,"AI-Generated",1.54699073440073,1.04117893033051,2.0465037242523,1
"response",0,"Human Forgery - Human Original",-0.426857612235432,-0.992810710796821,0.179486007512941,0.9265
"response",0,"AI-Generated - Human Original",-0.451855820414682,-1.05104099663123,0.111317422888613,0.9325
"response",0,"AI-Generated - Human Forgery",-0.0160478741662029,-0.638258579510498,0.614208924848647,0.51825
"mu",0,"Human Original",2.94349499187319,2.15053569919144,3.78474144009866,1
"mu",0,"Human Forgery",2.17426783484659,1.27365753065822,2.98785228290421,1
"mu",0,"AI-Generated",2.12471747357024,1.25050120881032,2.98880340168517,1
"mu",0,"Human Forgery - Human Original",-0.770496422863864,-1.75926571923246,0.264940460332985,0.928
"mu",0,"AI-Generated - Human Original",-0.810145737741186,-1.83485601796718,0.191035969062558,0.943
"mu",0,"AI-Generated - Human Forgery",-0.0547994948554842,-1.13442689202414,1.04488165323524,0.54025
"confright",0,"Human Original",1.06262151926628,0.665216748803821,1.46162300378527,1
"confright",0,"Human Forgery",1.36125869804099,0.953907907410234,1.79037766721868,1
"confright",0,"AI-Generated",1.03403898649013,0.604615952478516,1.4885514800842,1
"confright",0,"Human Forgery - Human Original",0.298885269530202,-0.201980133645141,0.781236393259221,0.881
"confright",0,"AI-Generated - Human Original",-0.0232016356810361,-0.532643538359356,0.459691681623964,0.53625
"confright",0,"AI-Generated - Human Forgery",-0.329744599445958,-0.867782339785128,0.165813809300364,0.8925
"confleft",0,"Human Original",-0.373762358778285,-0.819514626689499,0.0746976042146352,0.943
"confleft",0,"Human Forgery",0.165541306020756,-0.348334255445559,0.679602573918747,0.73975
"confleft",0,"AI-Generated",-0.447051765500139,-0.976128414555966,0.125983987537048,0.94675
