"Participant","MAD","Median","Parameter","Outcome"
"S023",0.016568731072214,-0.0242269056569985,"ForgOri_resp","Beauty"
"S023",0.0209360504183475,-0.00509616562078541,"AIOri_resp","Beauty"
"S023",0.0198189193980432,0.0184784420245518,"AIForg_resp","Beauty"
"S024",0.0403921320385802,0.0269844214773878,"ForgOri_resp","Beauty"
"S024",0.045526380598297,0.0680865709639502,"AIOri_resp","Beauty"
"S024",0.0411411882331451,0.0413384113174444,"AIForg_resp","Beauty"
"S025",0.0185151913173524,-0.0535781542221031,"ForgOri_resp","Beauty"
"S025",0.0405197620934213,-0.166838337384371,"AIOri_resp","Beauty"
"S025",0.036496913169328,-0.107722065533547,"AIForg_resp","Beauty"
"S026",0.0162770782146128,0.026519036730327,"ForgOri_resp","Beauty"
"S026",0.0249050634993426,-0.0566089660970996,"AIOri_resp","Beauty"
"S026",0.0195557515520737,-0.0851189233055307,"AIForg_resp","Beauty"
"S027",0.023151168807591,-0.00252271320854808,"ForgOri_resp","Beauty"
"S027",0.0347569493328177,-0.0908024858389123,"AIOri_resp","Beauty"
"S027",0.0361043842719979,-0.0956243473126411,"AIForg_resp","Beauty"
"S028",0.00831434723031736,-0.00121101393091194,"ForgOri_resp","Beauty"
"S028",0.0168274176350098,-0.0396535396684188,"AIOri_resp","Beauty"
"S028",0.0160823969618881,-0.0375874326344208,"AIForg_resp","Beauty"
"S029",0.0119922049267761,-0.041649379783703,"ForgOri_resp","Beauty"
"S029",0.0202299664491799,-0.0705016605947512,"AIOri_resp","Beauty"
"S029",0.0204886420782256,-0.0270233028956233,"AIForg_resp","Beauty"
"S030",0.0152212948236473,-0.109416793609967,"ForgOri_resp","Beauty"
"S030",0.0215290846989138,-0.0315438018301389,"AIOri_resp","Beauty"
"S030",0.0270533296228561,0.0781484443338465,"AIForg_resp","Beauty"
"S031",0.0223040291044697,-0.0395138216430119,"ForgOri_resp","Beauty"
"S031",0.0452102239573518,-0.0854616131915582,"AIOri_resp","Beauty"
"S031",0.0407673226424523,-0.0461568522892388,"AIForg_resp","Beauty"
"S032",0.0214334498953709,-0.0156378508655754,"ForgOri_resp","Beauty"
"S032",0.0301675301077478,-0.0185375261256022,"AIOri_resp","Beauty"
"S032",0.0345051448322499,-0.00172685341702911,"AIForg_resp","Beauty"
"S033",0.0164618895640362,-0.0386817358767076,"ForgOri_resp","Beauty"
"S033",0.0269256668756761,-0.0559568034100961,"AIOri_resp","Beauty"
"S033",0.02623613885419,-0.015489908391464,"AIForg_resp","Beauty"
"S035",0.0221464074467275,-0.00957792884047168,"ForgOri_resp","Beauty"
"S035",0.0184848882039334,-0.0170093299706067,"AIOri_resp","Beauty"
"S035",0.0218862308823594,-0.00733627999967137,"AIForg_resp","Beauty"
"S036",0.0324124463473604,-0.0996000662568111,"ForgOri_resp","Beauty"
"S036",0.0488289244233906,-0.0778653243298292,"AIOri_resp","Beauty"
"S036",0.0547456053451075,0.0192826899424529,"AIForg_resp","Beauty"
"S038",0.0194737159290223,-0.0602363230806043,"ForgOri_resp","Beauty"
"S038",0.0270385933009028,-0.0744953520759244,"AIOri_resp","Beauty"
"S038",0.0315274764484234,-0.013829342586255,"AIForg_resp","Beauty"
"S039",0.0252988871090525,-0.0180073406517328,"ForgOri_resp","Beauty"
"S039",0.0420402574272419,-0.0832621656729224,"AIOri_resp","Beauty"
"S039",0.0390320791998097,-0.0608862673268512,"AIForg_resp","Beauty"
"S040",0.0145766366724048,-0.00440134106943099,"ForgOri_resp","Beauty"
"S040",0.0153829944612353,-0.0336390565250122,"AIOri_resp","Beauty"
"S040",0.0208682194972584,-0.0294619478174649,"AIForg_resp","Beauty"
"S041",0.0152497273645923,-0.0171498919763737,"ForgOri_resp","Beauty"
"S041",0.02730899904247,-0.0746970045121182,"AIOri_resp","Beauty"
