"Type","Predictor","Level","Outcome","Effect","Median","CI_low","CI_high","pd","Table","At","Old (hits)","New (false alarms)","New - Old","pd_fmt"
"joint","SR_w","Old","P(AI-Generated | recognised)","-1 SD",2.39854387464452,-0.215307118730145,4.86573548328845,0.967,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","Old","P(AI-Generated | recognised)","+1 SD",-3.99921810405336,-5.90558156666967,-2.17619038342641,1,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","Old","P(AI-Generated | recognised)","+2 SD",-9.25097898825342,-13.4333427897899,-5.00996805648313,1,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","Old","P(AI-Generated | recognised)","Extremity",-3.13311620499839,-6.99638008883554,1.05139368095335,0.93225,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","Old","P(AI-Generated | recognised)","Asymmetry",-12.2557682647221,-20.2185200893078,-4.79216331637388,0.99975,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(AI-Generated | recognised)","-2 SD",0.340301914709492,-5.54083467054233,5.99933522390781,0.5465,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(AI-Generated | recognised)","-1 SD",0.860393596894907,-1.3415076957529,3.10943056412846,0.7815,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(AI-Generated | recognised)","+1 SD",-2.20665345659845,-4.64460423530366,0.169563726755143,0.96375,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(AI-Generated | recognised)","+2 SD",-5.63685687488013,-11.3273472423719,0.743358705314922,0.9575,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(AI-Generated | recognised)","Extremity",-2.62496453257293,-6.96864701154118,1.80423254405576,0.8705,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(AI-Generated | recognised)","Asymmetry",-5.91585413612916,-13.3495289493487,2.0302894875145,0.93,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","Old","P(AI-Generated | recognised)","-2 SD",2.01014944932427,-4.66417270962976,9.22244198254022,0.71175,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","Old","P(AI-Generated | recognised)","-1 SD",1.70202514729022,-0.881008266243743,4.56607624308502,0.899,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","Old","P(AI-Generated | recognised)","+1 SD",-2.96231291291656,-4.89732398147317,-0.988854165999225,0.99875,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","Old","P(AI-Generated | recognised)","+2 SD",-7.01566179958931,-11.3427817918717,-2.55633251015816,0.99875,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","Old","P(AI-Generated | recognised)","Extremity",-2.44741831227285,-6.3512931510624,1.76650749183032,0.8745,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","Old","P(AI-Generated | recognised)","Asymmetry",-9.02329632897608,-17.4486486917935,-1.08839159929351,0.99,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","New","P(recognised)","-2 SD",-2.19210848368046,-3.37944556787336,-1.16712173572659,1,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","New","P(recognised)","-1 SD",-1.17740872500092,-1.79903300753194,-0.654105578695119,1,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","New","P(recognised)","+1 SD",1.25921741100078,0.61796289328524,2.04693029439935,1,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","New","P(recognised)","+2 SD",2.5751572297778,0.632729986846159,4.73444525690933,0.999,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","New","P(recognised)","Extremity",0.202541117549424,-0.942200430026168,1.26031914924728,0.6455,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","New","P(recognised)","Asymmetry",4.75869200091438,2.50764068236127,7.33902768946908,1,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","New","P(recognised)","-2 SD",-2.50176984817816,-3.73761317289765,-1.50514737052122,1,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","New","P(recognised)","-1 SD",-1.33509690477051,-2.02620166136367,-0.80983315604668,1,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","New","P(recognised)","+1 SD",1.25064051147345,0.656825809472073,1.97525750964435,1,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","New","P(recognised)","+2 SD",2.13560981206272,0.775530603955054,3.8365721012962,0.9995,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","New","P(recognised)","Extremity",-0.174789644309165,-0.984976450880536,0.672436524634628,0.66375,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","New","P(recognised)","Asymmetry",4.67020025355369,2.67597002478935,7.03302872309938,1,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","New","P(recognised)","-2 SD",-1.30632401957488,-2.42588474623516,-0.130580991261764,0.9865,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","New","P(recognised)","-1 SD",-0.683763884126026,-1.23031934765384,-0.179462730144598,0.99725,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","New","P(recognised)","+1 SD",0.686852823160899,0.0714114831811159,1.3606368030592,0.9915,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","New","P(recognised)","+2 SD",1.40288813199324,-0.228372721935455,3.41983741759555,0.9585,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","New","P(recognised)","Extremity",0.0848026411828902,-0.906083314064509,1.21456377746395,0.55825,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","New","P(recognised)","Asymmetry",2.72193939323346,0.683619388933143,4.99407914027242,0.9985,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","New","P(recognised)","-2 SD",-2.03935302353,-3.28416752150202,-0.981561698276679,0.9995,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","New","P(recognised)","-1 SD",-1.02037539191651,-1.67877897872254,-0.486229640086233,0.9995,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","New","P(recognised)","+1 SD",0.79121050561558,0.206303331878188,1.3875866678266,0.99875,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","New","P(recognised)","+2 SD",1.14772521049003,-0.0837146607406529,2.61470147462297,0.9635,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","New","P(recognised)","Extremity",-0.431289690793291,-1.23467217909745,0.358635105494992,0.86075,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","New","P(recognised)","Asymmetry",3.19039471741786,1.37661447401598,5.261672197531,0.99975,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","New","P(Human Original | recognised)","-2 SD",-1.67469171858386,-9.96055944290324,6.67534075913809,0.653,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","New","P(Human Original | recognised)","-1 SD",-1.70206457338078,-5.17867854674291,1.60316319722844,0.84575,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","New","P(Human Original | recognised)","+1 SD",3.52338805116102,0.372985447145652,6.99148501262657,0.98425,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","New","P(Human Original | recognised)","+2 SD",8.44349822008711,1.10595249433327,16.1360742079252,0.9825,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","New","P(Human Original | recognised)","Extremity",3.30988042403283,-2.74329606405823,8.43713926517827,0.87775,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","New","P(Human Original | recognised)","Asymmetry",10.0246856104142,-1.29324641332529,21.6476556846015,0.95775,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","New","P(Human Original | recognised)","-2 SD",-8.37210080778331,-17.5635130334357,0.94533669933935,0.95875,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","New","P(Human Original | recognised)","-1 SD",-4.10554632276558,-7.94681331266094,-0.630122469798849,0.986,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","New","P(Human Original | recognised)","+1 SD",4.08831645117393,1.07790469013744,6.96002767312047,0.998,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","New","P(Human Original | recognised)","+2 SD",8.00443426047592,1.38592608466202,14.5493451723005,0.989,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","New","P(Human Original | recognised)","Extremity",-0.214138903906818,-5.59212845079612,5.49505567585963,0.5315,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","New","P(Human Original | recognised)","Asymmetry",16.2427227575245,4.11680520813553,27.5367402260089,0.997,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","New","P(Human Original | recognised)","-2 SD",2.75097297102429,-5.3492052601223,10.6985143126172,0.736,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","New","P(Human Original | recognised)","-1 SD",0.534953382601969,-3.08151378470423,3.79563278366381,0.6135,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","New","P(Human Original | recognised)","+1 SD",1.48624689409818,-1.92381490960501,5.2591367874236,0.79075,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","New","P(Human Original | recognised)","+2 SD",4.78589245307618,-3.29747515974449,13.4103002480381,0.85925,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","New","P(Human Original | recognised)","Extremity",3.73851466370989,-2.24694887955543,8.80158243310679,0.9035,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","New","P(Human Original | recognised)","Asymmetry",2.03693662542921,-9.04974182328591,15.6594600551103,0.633,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","New","P(Human Original | recognised)","-2 SD",-9.37731737730372,-18.8755912340155,0.453410450804391,0.96825,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","New","P(Human Original | recognised)","-1 SD",-4.24444446262478,-8.06152661969708,-0.448041189428508,0.98475,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","New","P(Human Original | recognised)","+1 SD",3.47805795482537,0.226550250107024,6.47755908282428,0.98225,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","New","P(Human Original | recognised)","+2 SD",6.24324480640996,-0.648103195153347,13.29476319184,0.953,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","New","P(Human Original | recognised)","Extremity",-1.63710783149685,-6.81671142326105,4.09392181825445,0.71825,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","New","P(Human Original | recognised)","Asymmetry",15.5396037136697,2.66568433951737,28.2650181651351,0.98925,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","New","P(Human Forgery | recognised)","-2 SD",1.91459704777495,-2.83008868830017,7.5982210531084,0.76775,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","New","P(Human Forgery | recognised)","-1 SD",0.700286948968277,-1.27290635149805,2.68456545097359,0.77325,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","New","P(Human Forgery | recognised)","+1 SD",-0.325950632598974,-2.00866292996565,1.62392627880202,0.63225,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","New","P(Human Forgery | recognised)","+2 SD",-0.41521898362254,-4.46436519131369,4.37417810923314,0.56425,"Probability (pp)",NA,NA,NA,NA,NA
